[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.4a667cc1ee/com.atlassian.auiplugin:split_aui.splitchunk.4a667cc1ee.css HTTP/1.1 200 4ms 1299 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.56dfb54d0c/com.atlassian.auiplugin:split_aui.splitchunk.56dfb54d0c.css HTTP/1.1 200 18ms 1868 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.141abf7fb1/com.atlassian.auiplugin:split_aui.splitchunk.141abf7fb1.css HTTP/1.1 200 14ms 785 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.3db8886820/com.atlassian.auiplugin:split_aui.splitchunk.3db8886820.css HTTP/1.1 200 8ms 673 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.component.flag/com.atlassian.auiplugin:split_aui.component.flag.css HTTP/1.1 200 2ms 1331 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.d925afe2c0/com.atlassian.auiplugin:split_aui.splitchunk.d925afe2c0.css HTTP/1.1 200 5ms 9651 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.deprecated.component.dropdown1/com.atlassian.auiplugin:split_aui.deprecated.component.dropdown1.css HTTP/1.1 200 11ms 3585 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.5b8c290363/com.atlassian.auiplugin:split_aui.splitchunk.5b8c290363.css HTTP/1.1 200 4ms 1102 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.7da3927366/com.atlassian.auiplugin:split_aui.splitchunk.7da3927366.css HTTP/1.1 200 24ms 11599 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.3d2cb1af14/com.atlassian.auiplugin:split_aui.splitchunk.3d2cb1af14.css HTTP/1.1 200 11ms 787 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
